Sample in Buffer,Sample in Window,TRIGGER,dbg_pfwd_wr[15:0],dbg_pfwd_drop[15:0],dbg_stack_txen,dbg_gmii_rx_dv,dbg_gmii_rxd[7:0],dbg_arp_rx_done,dbg_arp_rx_type,dbg_udp_rec_done,dbg_icmp_rec_done,dbg_rec_byte_num[15:0],dbg_udp_src_port[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
1,1,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
2,2,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
3,3,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
4,4,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
5,5,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
6,6,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
7,7,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
8,8,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
9,9,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
10,10,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
11,11,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
12,12,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
13,13,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
14,14,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
15,15,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
16,16,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
17,17,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
18,18,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
19,19,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
20,20,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
21,21,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
22,22,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
23,23,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
24,24,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
25,25,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
26,26,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
27,27,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
28,28,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
29,29,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
30,30,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
31,31,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
32,32,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
33,33,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
34,34,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
35,35,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
36,36,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
37,37,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
38,38,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
39,39,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
40,40,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
41,41,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
42,42,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
43,43,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
44,44,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
45,45,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
46,46,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
47,47,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
48,48,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
49,49,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
50,50,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
51,51,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
52,52,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
53,53,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
54,54,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
55,55,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
56,56,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
57,57,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
58,58,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
59,59,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
60,60,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
61,61,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
62,62,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
63,63,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
64,64,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
65,65,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
66,66,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
67,67,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
68,68,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
69,69,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
70,70,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
71,71,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
72,72,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
73,73,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
74,74,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
75,75,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
76,76,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
77,77,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
78,78,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
79,79,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
80,80,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
81,81,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
82,82,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
83,83,0,0004,0000,0,0,dd,0,0,0,0,0000,04d2
